,best_metric,best_subdir
biolinkbertbase,31.91%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_biolinkbertbase_2
debertav3base,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_debertav3base_2
electrabase,6.45%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_electrabase_2
electrasmall,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_electrasmall_1
gatortron,21.69%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_gatortron_0
radbert1,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_radbert1_0
radbert2,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_radbert2_1
robertalarge,35.20%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_robertalarge_2
pubmedbert,44.44%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_pubmedbert_2
debertav3large,16.22%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_debertav3large_2
bioclinicalbert,26.83%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_bioclinicalbert_2
electralarge,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_electralarge_2
biolinkbertlarge,28.17%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_biolinkbertlarge_2
bertlarge,0.00%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_bertlarge_1
robertabase,30.95%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_robertabase_2
bertbase,3.28%,/bmrNAS/people/jmz/models/rales/dygiepp/radgraph1pct_bertbase_2
