,best_metric,best_subdir
bertbase,53.33%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_bertbase_2
bioclinicalbert,47.62%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_bioclinicalbert_2
biolinkbertlarge,48.48%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_biolinkbertlarge_2
electrabase,41.38%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_electrabase_2
electralarge,31.25%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_electralarge_2
robertalarge,9.52%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_robertalarge_2
biolinkbertbase,55.81%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_biolinkbertbase_2
bertlarge,59.26%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_bertlarge_2
debertav3base,33.33%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_debertav3base_0
electrasmall,51.85%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_electrasmall_2
gatortron,51.85%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_gatortron_2
radbert1,44.83%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_radbert1_2
radbert2,33.33%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_radbert2_2
pubmedbert,24.24%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_pubmedbert_2
debertav3large,31.11%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_debertav3large_2
robertabase,33.33%,/bmrNAS/people/jmz/models/rales/dygiepp/radsprl1pct_robertabase_2
